cost_id,usage_id,job_id,asset_id,cost_date,cost_category,amount_cents,gst_input_cents,tax_code,bas_g11_cents,bas_1b_cents,supplier_name,withholding_cents
COST000585,USE01237,JOB0037,CP001,2026-01-30,Transport/float,92059,9206,GST,92059,9206,VIC Tilt Tray,0
COST000586,USE01250,JOB0037,DT001,2026-01-30,Fuel,16859,1686,GST,16859,1686,Caltex,0
COST000587,USE01250,JOB0037,DT001,2026-01-30,Labour,38609,0,N-T,0,0,Grounded Fleet Payroll,0
COST000588,USE01250,JOB0037,DT001,2026-01-30,Transport/float,82917,8292,GST,82917,8292,Metro Heavy Haulage,0
COST000589,USE01276,JOB0037,EX002,2026-01-30,Fuel,21577,2158,GST,21577,2158,Caltex,0
COST000590,USE01276,JOB0037,EX002,2026-01-30,Labour,44487,0,N-T,0,0,Grounded Fleet Payroll,0
COST000591,USE01263,JOB0037,EX003,2026-01-30,Fuel,33981,3398,GST,33981,3398,BP Australia,0
COST000592,USE01263,JOB0037,EX003,2026-01-30,Labour,55392,0,N-T,0,0,Grounded Fleet Payroll,0
COST000593,USE01289,JOB0037,LD002,2026-01-30,Fuel,41962,4196,GST,41962,4196,Ampol,0
COST000594,USE01289,JOB0037,LD002,2026-01-30,Labour,50291,0,N-T,0,0,Grounded Fleet Payroll,0
COST000595,USE01289,JOB0037,LD002,2026-01-30,Transport/float,58469,5847,GST,58469,5847,VIC Tilt Tray,0
COST000596,USE01291,JOB0038,CP001,2026-01-30,Fuel,36572,3657,GST,36572,3657,Viva Energy,0
COST000597,USE01291,JOB0038,CP001,2026-01-30,Labour,54099,0,N-T,0,0,Grounded Fleet Payroll,0
COST000598,USE01291,JOB0038,CP001,2026-01-30,Transport/float,75075,7508,GST,75075,7508,VIC Tilt Tray,0
COST000599,USE01301,JOB0038,DT001,2026-01-30,Fuel,34767,3477,GST,34767,3477,Ampol,0
COST000600,USE01301,JOB0038,DT001,2026-01-30,Labour,57925,0,N-T,0,0,Grounded Fleet Payroll,0
COST000601,USE01301,JOB0038,DT001,2026-01-30,Transport/float,58934,5893,GST,58934,5893,VIC Tilt Tray,0
COST000602,USE01413,JOB0040,EX005,2026-01-30,Fuel,56995,5700,GST,56995,5700,Ampol,0
COST000603,USE01413,JOB0040,EX005,2026-01-30,Labour,57642,0,N-T,0,0,Grounded Fleet Payroll,0
COST000604,USE01413,JOB0040,EX005,2026-01-30,Maintenance,42277,4228,GST,42277,4228,Komatsu Service,0
COST000605,USE01385,JOB0040,GR001,2026-01-30,Fuel,63162,6316,GST,63162,6316,Viva Energy,0
COST000606,USE01385,JOB0040,GR001,2026-01-30,Labour,46762,0,N-T,0,0,Grounded Fleet Payroll,0
COST000607,USE01399,JOB0040,LD002,2026-01-30,Fuel,49201,4920,GST,49201,4920,BP Australia,0
COST000608,USE01399,JOB0040,LD002,2026-01-30,Labour,62461,0,N-T,0,0,Grounded Fleet Payroll,0
COST000609,USE01399,JOB0040,LD002,2026-01-30,Transport/float,105650,10565,GST,105650,10565,VIC Tilt Tray,0
COST000610,USE01292,JOB0038,CP001,2026-01-31,Fuel,27481,2748,GST,27481,2748,Viva Energy,0
COST000611,USE01292,JOB0038,CP001,2026-01-31,Labour,47592,0,N-T,0,0,Grounded Fleet Payroll,0
COST000612,USE01302,JOB0038,DT001,2026-01-31,Fuel,33096,3310,GST,33096,3310,Caltex,0
COST000613,USE01302,JOB0038,DT001,2026-01-31,Labour,49527,0,N-T,0,0,Grounded Fleet Payroll,0
COST000614,USE01414,JOB0040,EX005,2026-01-31,Fuel,79711,7971,GST,79711,7971,Ampol,0
COST000615,USE01414,JOB0040,EX005,2026-01-31,Labour,50033,0,N-T,0,0,Grounded Fleet Payroll,0
COST000616,USE01386,JOB0040,GR001,2026-01-31,Fuel,46471,4647,GST,46471,4647,Viva Energy,0
COST000617,USE01386,JOB0040,GR001,2026-01-31,Labour,49200,0,N-T,0,0,Grounded Fleet Payroll,0
COST000618,USE01386,JOB0040,GR001,2026-01-31,E-tag,10410,1041,GST,10410,1041,Linkt,0
COST000619,USE01400,JOB0040,LD002,2026-01-31,Fuel,55209,5521,GST,55209,5521,BP Australia,0
COST000620,USE01400,JOB0040,LD002,2026-01-31,Labour,38380,0,N-T,0,0,Grounded Fleet Payroll,0
COST000621,USE01400,JOB0040,LD002,2026-01-31,Maintenance,48497,4850,GST,48497,4850,Local Diesel Repairs,0
COST000622,USE01400,JOB0040,LD002,2026-01-31,E-tag,7490,749,GST,7490,749,Linkt,0
COST000623,USE01293,JOB0038,CP001,2026-02-02,Fuel,62700,6270,GST,62700,6270,Caltex,0
COST000624,USE01293,JOB0038,CP001,2026-02-02,Labour,62936,0,N-T,0,0,Grounded Fleet Payroll,0
COST000625,USE01303,JOB0038,DT001,2026-02-02,Fuel,45314,4531,GST,45314,4531,Caltex,0
COST000626,USE01303,JOB0038,DT001,2026-02-02,Labour,53649,0,N-T,0,0,Grounded Fleet Payroll,0
COST000627,USE01303,JOB0038,DT001,2026-02-02,E-tag,3607,361,GST,3607,361,Linkt,0
COST000628,USE01415,JOB0040,EX005,2026-02-02,Fuel,18930,1893,GST,18930,1893,Caltex,0
COST000629,USE01415,JOB0040,EX005,2026-02-02,Labour,43736,0,N-T,0,0,Grounded Fleet Payroll,0
COST000630,USE01387,JOB0040,GR001,2026-02-02,Fuel,35251,3525,GST,35251,3525,Caltex,0
COST000631,USE01387,JOB0040,GR001,2026-02-02,Labour,59595,0,N-T,0,0,Grounded Fleet Payroll,0
COST000632,USE01387,JOB0040,GR001,2026-02-02,Maintenance,24769,2477,GST,24769,2477,WesTrac,0
COST000633,USE01401,JOB0040,LD002,2026-02-02,Fuel,22503,2250,GST,22503,2250,BP Australia,0
COST000634,USE01401,JOB0040,LD002,2026-02-02,Labour,39380,0,N-T,0,0,Grounded Fleet Payroll,0
COST000635,USE01294,JOB0038,CP001,2026-02-03,Fuel,48700,4870,GST,48700,4870,BP Australia,0
COST000636,USE01294,JOB0038,CP001,2026-02-03,Labour,39490,0,N-T,0,0,Grounded Fleet Payroll,0
COST000637,USE01304,JOB0038,DT001,2026-02-03,Fuel,36778,3678,GST,36778,3678,Viva Energy,0
COST000638,USE01304,JOB0038,DT001,2026-02-03,Labour,43995,0,N-T,0,0,Grounded Fleet Payroll,0
COST000639,USE01416,JOB0040,EX005,2026-02-03,Fuel,46253,4625,GST,46253,4625,Viva Energy,0
COST000640,USE01416,JOB0040,EX005,2026-02-03,Labour,42740,0,N-T,0,0,Grounded Fleet Payroll,0
COST000641,USE01388,JOB0040,GR001,2026-02-03,Fuel,31124,3112,GST,31124,3112,BP Australia,0
COST000642,USE01388,JOB0040,GR001,2026-02-03,Labour,41127,0,N-T,0,0,Grounded Fleet Payroll,0
COST000643,USE01402,JOB0040,LD002,2026-02-03,Fuel,26493,2649,GST,26493,2649,BP Australia,0
COST000644,USE01402,JOB0040,LD002,2026-02-03,Labour,50561,0,N-T,0,0,Grounded Fleet Payroll,0
COST000645,USE01402,JOB0040,LD002,2026-02-03,E-tag,3537,354,GST,3537,354,Linkt,0
COST000646,USE01295,JOB0038,CP001,2026-02-04,Fuel,47236,4724,GST,47236,4724,Viva Energy,0
COST000647,USE01295,JOB0038,CP001,2026-02-04,Labour,64153,0,N-T,0,0,Grounded Fleet Payroll,0
COST000648,USE01305,JOB0038,DT001,2026-02-04,Fuel,63891,6389,GST,63891,6389,Caltex,0
COST000649,USE01305,JOB0038,DT001,2026-02-04,Labour,56816,0,N-T,0,0,Grounded Fleet Payroll,0
COST000650,USE01417,JOB0040,EX005,2026-02-04,Fuel,43665,4366,GST,43665,4366,BP Australia,0
COST000651,USE01417,JOB0040,EX005,2026-02-04,Labour,40621,0,N-T,0,0,Grounded Fleet Payroll,0
COST000652,USE01417,JOB0040,EX005,2026-02-04,Maintenance,20536,2054,GST,20536,2054,CAT Parts,0
COST000653,USE01389,JOB0040,GR001,2026-02-04,Fuel,41401,4140,GST,41401,4140,Caltex,0
COST000654,USE01389,JOB0040,GR001,2026-02-04,Labour,56856,0,N-T,0,0,Grounded Fleet Payroll,0
COST000655,USE01403,JOB0040,LD002,2026-02-04,Fuel,27342,2734,GST,27342,2734,Caltex,0
COST000656,USE01403,JOB0040,LD002,2026-02-04,Labour,44967,0,N-T,0,0,Grounded Fleet Payroll,0
COST000657,USE01296,JOB0038,CP001,2026-02-05,Fuel,60768,6077,GST,60768,6077,Ampol,0
COST000658,USE01296,JOB0038,CP001,2026-02-05,Labour,44774,0,N-T,0,0,Grounded Fleet Payroll,0
COST000659,USE01306,JOB0038,DT001,2026-02-05,Fuel,25031,2503,GST,25031,2503,Viva Energy,0
COST000660,USE01306,JOB0038,DT001,2026-02-05,Labour,63521,0,N-T,0,0,Grounded Fleet Payroll,0
COST000661,USE01418,JOB0040,EX005,2026-02-05,Fuel,26536,2654,GST,26536,2654,Caltex,0
COST000662,USE01418,JOB0040,EX005,2026-02-05,Labour,49876,0,N-T,0,0,Grounded Fleet Payroll,0
COST000663,USE01418,JOB0040,EX005,2026-02-05,Maintenance,57973,5797,GST,57973,5797,WesTrac,0
COST000664,USE01390,JOB0040,GR001,2026-02-05,Fuel,63795,6380,GST,63795,6380,Ampol,0
COST000665,USE01390,JOB0040,GR001,2026-02-05,Labour,64332,0,N-T,0,0,Grounded Fleet Payroll,0
COST000666,USE01404,JOB0040,LD002,2026-02-05,Fuel,44589,4459,GST,44589,4459,Viva Energy,0
COST000667,USE01404,JOB0040,LD002,2026-02-05,Labour,63811,0,N-T,0,0,Grounded Fleet Payroll,0
COST000668,USE01297,JOB0038,CP001,2026-02-06,Fuel,32509,3251,GST,32509,3251,BP Australia,0
COST000669,USE01297,JOB0038,CP001,2026-02-06,Labour,49603,0,N-T,0,0,Grounded Fleet Payroll,0
COST000670,USE01297,JOB0038,CP001,2026-02-06,Maintenance,53642,5364,GST,53642,5364,WesTrac,0
COST000671,USE01307,JOB0038,DT001,2026-02-06,Fuel,54962,5496,GST,54962,5496,Ampol,0
COST000672,USE01307,JOB0038,DT001,2026-02-06,Labour,57357,0,N-T,0,0,Grounded Fleet Payroll,0
COST000673,USE01419,JOB0040,EX005,2026-02-06,Fuel,57216,5722,GST,57216,5722,Ampol,0
COST000674,USE01419,JOB0040,EX005,2026-02-06,Labour,64433,0,N-T,0,0,Grounded Fleet Payroll,0
COST000675,USE01419,JOB0040,EX005,2026-02-06,E-tag,3662,366,GST,3662,366,Linkt,0
COST000676,USE01391,JOB0040,GR001,2026-02-06,Fuel,22754,2275,GST,22754,2275,Ampol,0
COST000677,USE01391,JOB0040,GR001,2026-02-06,Labour,55937,0,N-T,0,0,Grounded Fleet Payroll,0
COST000678,USE01391,JOB0040,GR001,2026-02-06,Maintenance,32272,3227,GST,32272,3227,Local Diesel Repairs,0
COST000679,USE01405,JOB0040,LD002,2026-02-06,Fuel,63616,6362,GST,63616,6362,Caltex,0
COST000680,USE01405,JOB0040,LD002,2026-02-06,Labour,63380,0,N-T,0,0,Grounded Fleet Payroll,0
COST000681,USE01298,JOB0038,CP001,2026-02-07,Fuel,78172,7817,GST,78172,7817,BP Australia,0
COST000682,USE01298,JOB0038,CP001,2026-02-07,Labour,49925,0,N-T,0,0,Grounded Fleet Payroll,0
COST000683,USE01308,JOB0038,DT001,2026-02-07,Fuel,33931,3393,GST,33931,3393,Ampol,0
COST000684,USE01308,JOB0038,DT001,2026-02-07,Labour,58429,0,N-T,0,0,Grounded Fleet Payroll,0
COST000685,USE01308,JOB0038,DT001,2026-02-07,Maintenance,77975,7798,GST,77975,7798,WesTrac,0
COST000686,USE01308,JOB0038,DT001,2026-02-07,E-tag,5576,558,GST,5576,558,Linkt,0
COST000687,USE00649,JOB0020,EX001,2026-02-09,Fuel,38607,3861,GST,38607,3861,Caltex,0
COST000688,USE00649,JOB0020,EX001,2026-02-09,Labour,44928,0,N-T,0,0,Grounded Fleet Payroll,0
COST000689,USE00649,JOB0020,EX001,2026-02-09,Transport/float,72992,7299,GST,72992,7299,VIC Tilt Tray,0
COST000690,USE00673,JOB0020,EX005,2026-02-09,Fuel,40246,4025,GST,40246,4025,Viva Energy,0
COST000691,USE00673,JOB0020,EX005,2026-02-09,Labour,63785,0,N-T,0,0,Grounded Fleet Payroll,0
COST000692,USE00673,JOB0020,EX005,2026-02-09,Maintenance,36199,3620,GST,36199,3620,Komatsu Service,0
COST000693,USE00673,JOB0020,EX005,2026-02-09,Transport/float,41996,4200,GST,41996,4200,VIC Tilt Tray,0
COST000694,USE00661,JOB0020,GR001,2026-02-09,Fuel,43250,4325,GST,43250,4325,Viva Energy,0
COST000695,USE00661,JOB0020,GR001,2026-02-09,Labour,44719,0,N-T,0,0,Grounded Fleet Payroll,0
COST000696,USE00661,JOB0020,GR001,2026-02-09,Transport/float,94701,9470,GST,94701,9470,Metro Heavy Haulage,0
COST000697,USE01299,JOB0038,CP001,2026-02-09,Fuel,74218,7422,GST,74218,7422,Caltex,0
COST000698,USE01299,JOB0038,CP001,2026-02-09,Labour,54306,0,N-T,0,0,Grounded Fleet Payroll,0
COST000699,USE01309,JOB0038,DT001,2026-02-09,Fuel,64197,6420,GST,64197,6420,Ampol,0
COST000700,USE01309,JOB0038,DT001,2026-02-09,Labour,59986,0,N-T,0,0,Grounded Fleet Payroll,0
COST000701,USE01309,JOB0038,DT001,2026-02-09,E-tag,5583,558,GST,5583,558,Linkt,0
COST000702,USE00650,JOB0020,EX001,2026-02-10,Fuel,27556,2756,GST,27556,2756,BP Australia,0
COST000703,USE00650,JOB0020,EX001,2026-02-10,Labour,48184,0,N-T,0,0,Grounded Fleet Payroll,0
COST000704,USE00674,JOB0020,EX005,2026-02-10,Fuel,46988,4699,GST,46988,4699,Caltex,0
COST000705,USE00674,JOB0020,EX005,2026-02-10,Labour,63032,0,N-T,0,0,Grounded Fleet Payroll,0
COST000706,USE00662,JOB0020,GR001,2026-02-10,Fuel,60712,6071,GST,60712,6071,Viva Energy,0
COST000707,USE00662,JOB0020,GR001,2026-02-10,Labour,49081,0,N-T,0,0,Grounded Fleet Payroll,0
COST000708,USE00662,JOB0020,GR001,2026-02-10,E-tag,11865,1186,GST,11865,1186,Linkt,0
COST000709,USE00651,JOB0020,EX001,2026-02-11,Fuel,15106,1511,GST,15106,1511,Caltex,0
COST000710,USE00651,JOB0020,EX001,2026-02-11,Labour,39487,0,N-T,0,0,Grounded Fleet Payroll,0
COST000711,USE00651,JOB0020,EX001,2026-02-11,E-tag,11565,1156,GST,11565,1156,Linkt,0
COST000712,USE00675,JOB0020,EX005,2026-02-11,Fuel,33718,3372,GST,33718,3372,BP Australia,0
COST000713,USE00675,JOB0020,EX005,2026-02-11,Labour,56460,0,N-T,0,0,Grounded Fleet Payroll,0
COST000714,USE00663,JOB0020,GR001,2026-02-11,Fuel,64116,6412,GST,64116,6412,BP Australia,0
COST000715,USE00663,JOB0020,GR001,2026-02-11,Labour,46169,0,N-T,0,0,Grounded Fleet Payroll,0
COST000716,USE00663,JOB0020,GR001,2026-02-11,E-tag,11906,1191,GST,11906,1191,Linkt,0
COST000717,USE00652,JOB0020,EX001,2026-02-12,Fuel,37923,3792,GST,37923,3792,Caltex,0
COST000718,USE00652,JOB0020,EX001,2026-02-12,Labour,64185,0,N-T,0,0,Grounded Fleet Payroll,0
COST000719,USE00676,JOB0020,EX005,2026-02-12,Fuel,61931,6193,GST,61931,6193,BP Australia,0
COST000720,USE00676,JOB0020,EX005,2026-02-12,Labour,38842,0,N-T,0,0,Grounded Fleet Payroll,0
COST000721,USE00664,JOB0020,GR001,2026-02-12,Fuel,45251,4525,GST,45251,4525,Viva Energy,0
COST000722,USE00664,JOB0020,GR001,2026-02-12,Labour,64601,0,N-T,0,0,Grounded Fleet Payroll,0
COST000723,USE00664,JOB0020,GR001,2026-02-12,Maintenance,62890,6289,GST,62890,6289,WesTrac,0
COST000724,USE00653,JOB0020,EX001,2026-02-13,Fuel,26914,2691,GST,26914,2691,Ampol,0
COST000725,USE00653,JOB0020,EX001,2026-02-13,Labour,51207,0,N-T,0,0,Grounded Fleet Payroll,0
COST000726,USE00677,JOB0020,EX005,2026-02-13,Fuel,46018,4602,GST,46018,4602,Caltex,0
COST000727,USE00677,JOB0020,EX005,2026-02-13,Labour,57826,0,N-T,0,0,Grounded Fleet Payroll,0
COST000728,USE00677,JOB0020,EX005,2026-02-13,Maintenance,35439,3544,GST,35439,3544,Local Diesel Repairs,0
COST000729,USE00677,JOB0020,EX005,2026-02-13,E-tag,3186,319,GST,3186,319,Linkt,0
COST000730,USE00665,JOB0020,GR001,2026-02-13,Fuel,28882,2888,GST,28882,2888,Caltex,0
COST000731,USE00665,JOB0020,GR001,2026-02-13,Labour,60499,0,N-T,0,0,Grounded Fleet Payroll,0
COST000732,USE00665,JOB0020,GR001,2026-02-13,Maintenance,28916,2892,GST,28916,2892,WesTrac,0
COST000733,USE00654,JOB0020,EX001,2026-02-14,Fuel,42404,4240,GST,42404,4240,BP Australia,0
COST000734,USE00654,JOB0020,EX001,2026-02-14,Labour,46305,0,N-T,0,0,Grounded Fleet Payroll,0
COST000735,USE00678,JOB0020,EX005,2026-02-14,Fuel,65171,6517,GST,65171,6517,BP Australia,0
COST000736,USE00678,JOB0020,EX005,2026-02-14,Labour,39686,0,N-T,0,0,Grounded Fleet Payroll,0
COST000737,USE00666,JOB0020,GR001,2026-02-14,Fuel,37570,3757,GST,37570,3757,Viva Energy,0
COST000738,USE00666,JOB0020,GR001,2026-02-14,Labour,45281,0,N-T,0,0,Grounded Fleet Payroll,0
COST000739,USE00666,JOB0020,GR001,2026-02-14,E-tag,6811,681,GST,6811,681,Linkt,0
COST000740,USE00655,JOB0020,EX001,2026-02-16,Fuel,24688,2469,GST,24688,2469,BP Australia,0
COST000741,USE00655,JOB0020,EX001,2026-02-16,Labour,48186,0,N-T,0,0,Grounded Fleet Payroll,0
COST000742,USE00679,JOB0020,EX005,2026-02-16,Fuel,76632,7663,GST,76632,7663,BP Australia,0
COST000743,USE00679,JOB0020,EX005,2026-02-16,Labour,39574,0,N-T,0,0,Grounded Fleet Payroll,0
COST000744,USE00679,JOB0020,EX005,2026-02-16,Maintenance,42670,4267,GST,42670,4267,Local Diesel Repairs,0
COST000745,USE00667,JOB0020,GR001,2026-02-16,Fuel,32755,3276,GST,32755,3276,Caltex,0
COST000746,USE00667,JOB0020,GR001,2026-02-16,Labour,50595,0,N-T,0,0,Grounded Fleet Payroll,0
COST000747,USE00667,JOB0020,GR001,2026-02-16,Maintenance,51943,5194,GST,51943,5194,CAT Parts,0
COST000748,USE00685,JOB0021,DZ001,2026-02-16,Fuel,23292,2329,GST,23292,2329,Caltex,0
COST000749,USE00685,JOB0021,DZ001,2026-02-16,Labour,54104,0,N-T,0,0,Grounded Fleet Payroll,0
COST000750,USE00685,JOB0021,DZ001,2026-02-16,Transport/float,95427,9543,GST,95427,9543,VIC Tilt Tray,0
COST000751,USE00685,JOB0021,DZ001,2026-02-16,E-tag,9190,919,GST,9190,919,Linkt,0
COST000752,USE00701,JOB0021,EX003,2026-02-16,Fuel,37984,3798,GST,37984,3798,Caltex,0
COST000753,USE00701,JOB0021,EX003,2026-02-16,Labour,56102,0,N-T,0,0,Grounded Fleet Payroll,0
COST000754,USE00701,JOB0021,EX003,2026-02-16,Transport/float,59562,5956,GST,59562,5956,Metro Heavy Haulage,0
COST000755,USE00701,JOB0021,EX003,2026-02-16,E-tag,11444,1144,GST,11444,1144,Linkt,0
COST000756,USE00693,JOB0021,EX004,2026-02-16,Fuel,38846,3885,GST,38846,3885,Caltex,0
COST000757,USE00693,JOB0021,EX004,2026-02-16,Labour,51164,0,N-T,0,0,Grounded Fleet Payroll,0
COST000758,USE00697,JOB0021,EX005,2026-02-16,Fuel,35191,3519,GST,35191,3519,Ampol,0
COST000759,USE00697,JOB0021,EX005,2026-02-16,Labour,48777,0,N-T,0,0,Grounded Fleet Payroll,0
COST000760,USE00697,JOB0021,EX005,2026-02-16,Maintenance,33957,3396,GST,33957,3396,WesTrac,0
COST000761,USE00697,JOB0021,EX005,2026-02-16,Transport/float,45654,4565,GST,45654,4565,Metro Heavy Haulage,0
COST000762,USE00689,JOB0021,LD001,2026-02-16,Fuel,33938,3394,GST,33938,3394,Ampol,0
COST000763,USE00689,JOB0021,LD001,2026-02-16,Labour,62886,0,N-T,0,0,Grounded Fleet Payroll,0
COST000764,USE00689,JOB0021,LD001,2026-02-16,Maintenance,30170,3017,GST,30170,3017,Local Diesel Repairs,0
COST000765,USE00689,JOB0021,LD001,2026-02-16,Transport/float,86984,8698,GST,86984,8698,VIC Tilt Tray,0
COST000766,USE00656,JOB0020,EX001,2026-02-17,Fuel,30659,3066,GST,30659,3066,Viva Energy,0
COST000767,USE00656,JOB0020,EX001,2026-02-17,Labour,58760,0,N-T,0,0,Grounded Fleet Payroll,0
COST000768,USE00656,JOB0020,EX001,2026-02-17,Maintenance,62526,6253,GST,62526,6253,Komatsu Service,0
COST000769,USE00680,JOB0020,EX005,2026-02-17,Fuel,29673,2967,GST,29673,2967,Viva Energy,0
COST000770,USE00680,JOB0020,EX005,2026-02-17,Labour,40251,0,N-T,0,0,Grounded Fleet Payroll,0
COST000771,USE00680,JOB0020,EX005,2026-02-17,Maintenance,64333,6433,GST,64333,6433,Komatsu Service,0
COST000772,USE00680,JOB0020,EX005,2026-02-17,Transport/float,66949,6695,GST,66949,6695,VIC Tilt Tray,0
COST000773,USE00668,JOB0020,GR001,2026-02-17,Fuel,38691,3869,GST,38691,3869,Caltex,0
COST000774,USE00668,JOB0020,GR001,2026-02-17,Labour,42986,0,N-T,0,0,Grounded Fleet Payroll,0
COST000775,USE00686,JOB0021,DZ001,2026-02-17,Fuel,26563,2656,GST,26563,2656,Viva Energy,0
COST000776,USE00686,JOB0021,DZ001,2026-02-17,Labour,45071,0,N-T,0,0,Grounded Fleet Payroll,0
COST000777,USE00686,JOB0021,DZ001,2026-02-17,Maintenance,34947,3495,GST,34947,3495,WesTrac,0
COST000778,USE00686,JOB0021,DZ001,2026-02-17,E-tag,3274,327,GST,3274,327,Linkt,0
COST000779,USE00702,JOB0021,EX003,2026-02-17,Fuel,48027,4803,GST,48027,4803,BP Australia,0
COST000780,USE00702,JOB0021,EX003,2026-02-17,Labour,44144,0,N-T,0,0,Grounded Fleet Payroll,0
COST000781,USE00694,JOB0021,EX004,2026-02-17,Fuel,18309,1831,GST,18309,1831,BP Australia,0
COST000782,USE00694,JOB0021,EX004,2026-02-17,Labour,56697,0,N-T,0,0,Grounded Fleet Payroll,0
COST000783,USE00698,JOB0021,EX005,2026-02-17,Fuel,27885,2788,GST,27885,2788,Viva Energy,0
COST000784,USE00698,JOB0021,EX005,2026-02-17,Labour,38004,0,N-T,0,0,Grounded Fleet Payroll,0
COST000785,USE00698,JOB0021,EX005,2026-02-17,Transport/float,86546,8655,GST,86546,8655,Metro Heavy Haulage,0
COST000786,USE00690,JOB0021,LD001,2026-02-17,Fuel,30670,3067,GST,30670,3067,BP Australia,0
COST000787,USE00690,JOB0021,LD001,2026-02-17,Labour,58636,0,N-T,0,0,Grounded Fleet Payroll,0
COST000788,USE00533,JOB0017,BC001,2026-02-18,Fuel,38682,3868,GST,38682,3868,Ampol,0
COST000789,USE00533,JOB0017,BC001,2026-02-18,Labour,64484,0,N-T,0,0,Grounded Fleet Payroll,0
COST000790,USE00533,JOB0017,BC001,2026-02-18,Maintenance,89942,8994,GST,89942,8994,CAT Parts,0
COST000791,USE00533,JOB0017,BC001,2026-02-18,Transport/float,88120,8812,GST,88120,8812,VIC Tilt Tray,0
COST000792,USE00505,JOB0017,DZ001,2026-02-18,Fuel,37206,3721,GST,37206,3721,Viva Energy,0
COST000793,USE00505,JOB0017,DZ001,2026-02-18,Labour,39548,0,N-T,0,0,Grounded Fleet Payroll,0
COST000794,USE00505,JOB0017,DZ001,2026-02-18,Maintenance,64710,6471,GST,64710,6471,WesTrac,0
COST000795,USE00547,JOB0017,EX001,2026-02-18,Fuel,20921,2092,GST,20921,2092,Viva Energy,0
COST000796,USE00547,JOB0017,EX001,2026-02-18,Labour,48195,0,N-T,0,0,Grounded Fleet Payroll,0
COST000797,USE00547,JOB0017,EX001,2026-02-18,Maintenance,55625,5562,GST,55625,5562,Local Diesel Repairs,0
COST000798,USE00547,JOB0017,EX001,2026-02-18,Transport/float,79830,7983,GST,79830,7983,VIC Tilt Tray,0
COST000799,USE00561,JOB0017,EX002,2026-02-18,Fuel,37968,3797,GST,37968,3797,Viva Energy,0
COST000800,USE00561,JOB0017,EX002,2026-02-18,Labour,58701,0,N-T,0,0,Grounded Fleet Payroll,0
COST000801,USE00561,JOB0017,EX002,2026-02-18,Maintenance,23442,2344,GST,23442,2344,CAT Parts,0
COST000802,USE00561,JOB0017,EX002,2026-02-18,Transport/float,56014,5601,GST,56014,5601,Metro Heavy Haulage,0
COST000803,USE00519,JOB0017,EX003,2026-02-18,Fuel,51512,5151,GST,51512,5151,Ampol,0
COST000804,USE00519,JOB0017,EX003,2026-02-18,Labour,43629,0,N-T,0,0,Grounded Fleet Payroll,0
COST000805,USE00657,JOB0020,EX001,2026-02-18,Fuel,23798,2380,GST,23798,2380,Ampol,0
COST000806,USE00657,JOB0020,EX001,2026-02-18,Labour,60797,0,N-T,0,0,Grounded Fleet Payroll,0
COST000807,USE00657,JOB0020,EX001,2026-02-18,Transport/float,98270,9827,GST,98270,9827,VIC Tilt Tray,0
COST000808,USE00681,JOB0020,EX005,2026-02-18,Fuel,27087,2709,GST,27087,2709,Viva Energy,0
COST000809,USE00681,JOB0020,EX005,2026-02-18,Labour,39063,0,N-T,0,0,Grounded Fleet Payroll,0
COST000810,USE00681,JOB0020,EX005,2026-02-18,Maintenance,22444,2244,GST,22444,2244,Komatsu Service,0
COST000811,USE00681,JOB0020,EX005,2026-02-18,Transport/float,101701,10170,GST,101701,10170,Metro Heavy Haulage,0
COST000812,USE00669,JOB0020,GR001,2026-02-18,Fuel,55651,5565,GST,55651,5565,Ampol,0
COST000813,USE00669,JOB0020,GR001,2026-02-18,Labour,38864,0,N-T,0,0,Grounded Fleet Payroll,0
COST000814,USE00669,JOB0020,GR001,2026-02-18,E-tag,11036,1104,GST,11036,1104,Linkt,0
COST000815,USE00687,JOB0021,DZ001,2026-02-18,Fuel,76660,7666,GST,76660,7666,Caltex,0
COST000816,USE00687,JOB0021,DZ001,2026-02-18,Labour,56052,0,N-T,0,0,Grounded Fleet Payroll,0
COST000817,USE00687,JOB0021,DZ001,2026-02-18,Maintenance,59997,6000,GST,59997,6000,Komatsu Service,0
COST000818,USE00687,JOB0021,DZ001,2026-02-18,E-tag,2931,293,GST,2931,293,Linkt,0
COST000819,USE00703,JOB0021,EX003,2026-02-18,Fuel,25013,2501,GST,25013,2501,Caltex,0
COST000820,USE00703,JOB0021,EX003,2026-02-18,Labour,44123,0,N-T,0,0,Grounded Fleet Payroll,0
COST000821,USE00695,JOB0021,EX004,2026-02-18,Fuel,25948,2595,GST,25948,2595,Caltex,0
COST000822,USE00695,JOB0021,EX004,2026-02-18,Labour,58677,0,N-T,0,0,Grounded Fleet Payroll,0
COST000823,USE00699,JOB0021,EX005,2026-02-18,Fuel,52243,5224,GST,52243,5224,BP Australia,0
COST000824,USE00699,JOB0021,EX005,2026-02-18,Labour,57016,0,N-T,0,0,Grounded Fleet Payroll,0
COST000825,USE00699,JOB0021,EX005,2026-02-18,Maintenance,84551,8455,GST,84551,8455,CAT Parts,0
COST000826,USE00699,JOB0021,EX005,2026-02-18,Transport/float,113225,11322,GST,113225,11322,VIC Tilt Tray,0
COST000827,USE00691,JOB0021,LD001,2026-02-18,Fuel,16110,1611,GST,16110,1611,Caltex,0
